Date,Open,High,Low,Close,Adj Close,Volume,,,
20161114,107.709999,107.809998,104.080002,105.709999,105.709999,51175500,,,
20161115,106.57,107.68,106.160004,107.110001,107.110001,32264500,,,
20161116,106.699997,110.230003,106.599998,109.989998,109.989998,58840500,,,
20161117,109.809998,110.349998,108.830002,109.949997,109.949997,27632000,,,
20161118,109.720001,110.540001,109.660004,110.059998,110.059998,28428900,,,
20161121,110.120003,111.989998,110.010002,111.730003,111.730003,29264600,,,
20161122,111.949997,112.419998,111.400002,111.800003,111.800003,25965500,,,
20161123,111.360001,111.510002,110.330002,111.230003,111.230003,27426400,,,
20161125,111.129997,111.870003,110.949997,111.790001,111.790001,11475900,,,
20161128,111.43,112.470001,111.389999,111.57,111.57,27194000,,,
20161129,110.779999,112.029999,110.07,111.459999,111.459999,28528800,,,
20161130,111.599998,112.199997,110.269997,110.519997,110.519997,36162300,,,
20161201,110.370003,110.940002,109.029999,109.489998,109.489998,37086900,,,
20161202,109.169998,110.089996,108.849998,109.900002,109.900002,26528000,,,
20161205,110,110.029999,108.25,109.110001,109.110001,34324500,,,
20161206,109.5,110.360001,109.190002,109.949997,109.949997,26195500,,,
20161207,109.260002,111.190002,109.160004,111.029999,111.029999,29998700,,,
20161208,110.860001,112.43,110.599998,112.120003,112.120003,27068300,,,
20161209,112.309998,114.699997,112.309998,113.949997,113.949997,34402600,,,
20161212,113.290001,115,112.489998,113.300003,113.300003,26374400,,,
20161213,113.839996,115.919998,113.75,115.190002,115.190002,43733800,,,
20161214,115.040001,116.199997,114.980003,115.190002,115.190002,34031800,,,
20161215,115.379997,116.730003,115.230003,115.82,115.82,46524500,,,
20161216,116.470001,116.5,115.650002,115.970001,115.970001,44351100,,,
20161219,115.800003,117.379997,115.75,116.639999,116.639999,27779400,,,
20161220,116.739998,117.5,116.68,116.949997,116.949997,21425000,,,
20161221,116.800003,117.400002,116.779999,117.059998,117.059998,23783200,,,
20161222,116.349998,116.510002,115.639999,116.290001,116.290001,26085900,,,
20161223,115.589996,116.519997,115.589996,116.519997,116.519997,14181200,,,
20161227,116.519997,117.800003,116.489998,117.260002,117.260002,18296900,,,
20161228,117.519997,118.019997,116.199997,116.760002,116.760002,20905900,,,
20161229,116.449997,117.110001,116.400002,116.730003,116.730003,15039500,,,
20161230,116.650002,117.199997,115.43,115.82,115.82,30586300,,,
20170103,115.800003,116.330002,114.760002,116.150002,116.150002,28781900,,,
20170104,115.849998,116.510002,115.75,116.019997,116.019997,21118100,,,
20170105,115.919998,116.860001,115.809998,116.610001,116.610001,22193600,,,
20170106,116.779999,118.160004,116.470001,117.910004,117.910004,31751900,,,
20170109,117.949997,119.43,117.940002,118.989998,118.989998,33561900,,,
20170110,118.769997,119.379997,118.300003,119.110001,119.110001,24462100,,,
20170111,118.739998,119.93,118.599998,119.75,119.75,27588600,,,
20170112,118.900002,119.300003,118.209999,119.25,119.25,27086200,,,
20170113,119.110001,119.620003,118.809998,119.040001,119.040001,26111900,,,
20170117,118.339996,120.239998,118.220001,120,120,34439800,,,
20170118,120,120.5,119.709999,119.989998,119.989998,23713000,,,
20170119,119.400002,120.089996,119.370003,119.779999,119.779999,25597300,,,
20170120,120.449997,120.449997,119.730003,120,120,32597900,,,
20170123,120,120.809998,119.769997,120.080002,120.080002,22050200,,,
